City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Kannur,IN,78.04,broken clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
571,Hutchinson,US,79.48,haze,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
572,Canton,CN,83.88,overcast clouds,23.1167,113.25,Guangzhou Hotel
573,Mayumba,GA,75.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
576,Ormara,PK,81.59,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
583,Guerrero Negro,MX,77.25,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
584,Eyl,SO,88.36,overcast clouds,7.9803,49.8164,Amiin Hotel
586,Tagusao,PH,81.5,scattered clouds,9.1924,117.8141,Toledo
587,Praia Da Vitoria,PT,77.25,broken clouds,38.7333,-27.0667,Hotel Branco I
594,Puerto Maldonado,PE,79.2,clear sky,-12.6,-69.1833,Wasai Hotel
595,Kushmurun,KZ,79.48,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
600,Sabzevar,IR,82.8,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
602,Nador,MA,87.87,clear sky,35.174,-2.9287,Hôtel La Giralda
603,Pochutla,MX,87.62,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
604,Erzincan,TR,79.9,broken clouds,39.75,39.5,Eriza Boutique Hotel
606,Ilebo,CD,87.37,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
608,Teplyk,UA,83.7,few clouds,48.6657,29.745,Pp Hotelʹnyy Kompleks Pryvat-Otelʹ
610,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
611,Griffith,US,78.48,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
612,Fomboni,KM,76.08,clear sky,-12.28,43.7425,Auberge les abou
613,Front Royal,US,76.57,overcast clouds,38.9182,-78.1944,Hampton Inn Front Royal
615,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
616,Svetlogorsk,BY,79.39,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
618,Marsh Harbour,BS,85.59,clear sky,26.5412,-77.0636,Abaco Beach Resort
619,Jodhpur,IN,82.36,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
620,Carupano,VE,85.17,few clouds,10.6678,-63.2585,Hotel La dorada
623,Wukari,NG,82.38,light rain,7.85,9.7833,Elimtop
626,Nisia Floresta,BR,85.01,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
